Decimal Day (UTC),Temp (oC)
0.0,8.870276923076922
1.0,8.851686082158185
2.0,9.007781862745098
3.0,9.233823529411765
4.0,9.489705882352942
5.0,9.387614960147149
6.0,9.319435928877988
7.0,9.68519656019656
8.0,10.125061425061425
9.0,9.853799019607843
10.0,9.857489123679303
11.0,9.975456919060052
12.0,10.170866666666667
13.0,10.274216027874564
14.0,10.142779291553135
15.0,10.081179589131876
16.0,10.209914642153644
17.0,10.262018592297478
18.0,10.27788844621514
19.0,10.126291390728477
20.0,10.079787234042554
21.0,10.215925680159257
22.0,10.10829639012033
23.0,10.0855900621118
24.0,10.122958199356914
25.0,10.273096446700508
26.0,10.369881767268202
27.0,10.359838609559281
28.0,10.613760896637608
29.0,10.771017156862746
30.0,10.751348039215687
31.0,10.624632352941177
32.0,10.553124999999998
33.0,10.494294478527609
34.0,10.427205882352942
35.0,10.38296568627451
36.0,10.663329238329236
37.0,10.916115196078431
38.0,11.088419117647058
39.0,11.032883435582821
40.0,11.002144607843137
41.0,10.977258758451137
42.0,11.048466257668712
43.0,11.261213235294115
44.0,11.409877300613497
45.0,11.406740196078431
46.0,11.367872470876764
47.0,11.42972972972973
48.0,11.378724708767628
49.0,11.38265931372549
50.0,11.377634803921568
51.0,11.394607843137255
52.0,11.495220588235295
53.0,11.449754901960784
54.0,11.177682403433476
55.0,11.38517156862745
56.0,11.603249540159412
57.0,11.715625000000001
58.0,11.6807881773399
59.0,11.957283343577135
60.0,12.21716738197425
61.0,12.14188191881919
62.0,11.933991363355952
63.0,12.112377450980393
64.0,12.45236051502146
65.0,12.491344383057088
66.0,12.400307881773399
67.0,12.494266337854503
68.0,12.778258184064237
69.0,12.885185185185184
70.0,13.26179012345679
71.0,13.403633004926109
72.0,13.708703703703705
73.0,13.722058823529412
74.0,13.6390318627451
75.0,13.644301470588236
76.0,13.515809051456912
77.0,13.467852760736195
78.0,13.62829957028852
79.0,13.747268262737876
80.0,14.011496467565832
81.0,13.7883322346737
82.0,13.803881578947367
83.0,13.748614609571788
84.0,13.850527622594662
85.0,14.066115196078432
86.0,14.32397302268547
87.0,14.505882352941176
88.0,14.54920343137255
89.0,14.538919582565992
90.0,14.590114795918367
91.0,14.8515625
92.0,14.828059895833334
93.0,14.856954887218043
94.0,14.808583690987124
95.0,14.551442602823817
96.0,14.745526960784314
97.0,14.993198529411766
98.0,15.103125000000002
99.0,15.450980392156863
100.0,15.707475490196078
101.0,15.480453431372547
102.0,15.679215205395465
103.0,15.54031862745098
104.0,15.501716738197425
105.0,15.586703431372548
106.0,15.823771498771498
107.0,16.331924019607843
108.0,16.81311274509804
109.0,17.08394607843137
110.0,16.943980343980343
111.0,16.964942528735634
112.0,17.298242187499998
113.0,17.528097622027534
114.0,17.338541666666668
115.0,17.046965052115265
116.0,17.344189016602808
117.0,17.3041015625
118.0,17.4339375
119.0,17.742830882352937
120.0,17.759520884520885
121.0,17.855548743102393
122.0,17.999938725490196
123.0,18.159313725490197
124.0,18.246437346437347
125.0,17.692335990190067
126.0,17.86760909649662
127.0,17.934375
128.0,18.046531614487414
129.0,18.318198529411763
130.0,18.2828431372549
131.0,18.73247549019608
132.0,18.844914215686273
133.0,18.983210784313723
134.0,18.76029411764706
135.0,18.817892156862747
136.0,19.065880102040815
137.0,19.193098958333334
138.0,18.971339173967458
139.0,18.88768382352941
140.0,18.86977886977887
141.0,18.882843137254902
142.0,18.937438725490196
143.0,18.96150966936993
144.0,18.92078163771712
145.0,18.763960639606395
146.0,18.874739423666465
147.0,19.25969230769231
148.0,19.544859813084113
149.0,19.646006191950462
150.0,19.686268472906406
151.0,19.878707692307692
152.0,20.326899509803923
153.0,20.571007371007376
154.0,20.628002450980393
155.0,20.63741538461538
156.0,20.682342121397916
157.0,20.530301167793485
158.0,20.56789895255699
159.0,20.851413881748073
160.0,20.483658076681333
161.0,20.783088235294116
162.0,21.18247549019608
163.0,21.45387931034483
164.0,21.490197287299633
165.0,21.21078431372549
166.0,20.72941176470588
167.0,20.946507352941175
168.0,21.444820971867006
169.0,21.597070312499998
170.0,21.417304075235112
171.0,21.71711656441718
172.0,21.946206045650836
173.0,21.861810291382515
174.0,21.927166564228642
