Decimal Day (UTC),Jersey Temp (oC),RioVista Temp (oC)
0.0,8.92514880952381,8.399553571428571
1.0,8.835447761194029,8.324652777777779
2.0,8.80922619047619,8.309407665505226
3.0,8.834921816827997,8.310080285459412
4.0,8.889642324888225,8.414585152838427
5.0,8.900521998508577,8.484187662901826
6.0,8.90766369047619,8.544444444444444
7.0,8.936309523809523,8.623362831858406
8.0,9.021130952380952,8.818592528236318
9.0,9.086119402985075,9.011458333333332
10.0,9.124702380952382,9.161371527777778
11.0,9.188274831964153,9.240625000000001
12.0,9.265868263473054,9.300610820244328
13.0,9.334598214285714,9.369010416666669
14.0,9.383854166666667,9.383680555555555
15.0,9.38525688756515,9.40546875
16.0,9.43301043219076,9.441927083333333
17.0,9.483594332587622,9.479774305555555
18.0,9.545014880952381,9.536805555555556
19.0,9.524627976190477,9.571763683753257
20.0,9.546905294556302,9.623697916666666
21.0,9.586086309523811,9.659494773519164
22.0,9.589360119047617,9.640625
23.0,9.62998511904762,9.612829525483304
24.0,9.695070948469008,9.655989583333334
25.0,9.804092261904762,9.74001736111111
26.0,9.876194029850746,9.819791666666667
27.0,9.936044776119404,9.933014769765421
28.0,10.017089552238806,10.062228024369016
29.0,10.086904761904762,10.212934027777777
30.0,10.168675595238096,10.377473498233215
31.0,10.227752976190475,10.489226519337016
32.0,10.234727408513816,10.447125435540071
33.0,10.238743455497383,10.453182214472536
34.0,10.293973214285714,10.520508326029798
35.0,10.355803571428572,10.547171453437773
36.0,10.488098802395209,10.586892361111111
37.0,10.622933730454205,10.639930555555557
38.0,10.736920777279522,10.759391304347826
39.0,10.798797113071371,10.84513888888889
40.0,10.88460304731355,10.907725694444444
41.0,11.008562918838422,10.972173913043479
42.0,11.076119402985073,11.03673647469459
43.0,11.212127976190475,11.166141732283466
44.0,11.363169642857141,11.328770706190062
45.0,11.452914798206278,11.48879235447437
46.0,11.490840840840841,11.555208333333333
47.0,11.559806114839672,11.694444444444445
48.0,11.592819745699327,11.737760416666667
49.0,11.608482142857143,11.705473501303215
50.0,11.548990276738968,11.631336805555556
51.0,11.602380952380953,11.634374999999999
52.0,11.652154195011338,11.640364583333334
53.0,11.620178704393151,11.553397212543553
54.0,11.55544776119403,11.42162162162162
55.0,11.583630952380954,11.42491134751773
56.0,11.670535714285714,11.477256944444443
57.0,11.689806547619048,11.490964378801044
58.0,11.761160714285714,11.50295138888889
59.0,11.89240506329114,11.629268292682928
60.0,11.991071428571429,11.797569444444443
61.0,12.071577380952382,11.882291666666667
62.0,12.174553571428572,11.98706597222222
63.0,12.332440476190476,12.162065972222221
64.0,12.496875000000003,12.282118055555555
65.0,12.60641791044776,12.39765625
66.0,12.632366071428573,12.450174216027873
67.0,12.690029761904762,12.505989583333333
68.0,12.793080357142859,12.61033883579496
69.0,12.9140625,12.730989583333333
70.0,13.07313988095238,12.932118055555557
71.0,13.234449404761904,13.1171875
72.0,13.399999999999999,13.267881944444444
73.0,13.561883408071749,13.431652173913045
74.0,13.672408650260998,13.586111111111112
75.0,13.81532738095238,13.71796875
76.0,13.90082089552239,13.752430555555556
77.0,13.941517857142859,13.732752613240418
78.0,13.953288490284006,13.618142361111111
79.0,14.01205357142857,13.673890339425586
80.0,14.110342261904764,13.843248014121802
81.0,14.166517857142859,13.941549295774646
82.0,14.226940298507461,13.935739130434785
83.0,14.263283582089551,13.921440972222221
84.0,14.25230654761905,13.939583333333335
85.0,14.334377330350486,14.041145833333335
86.0,14.49449404761905,14.192361111111113
87.0,14.61175595238095,14.370572916666667
88.0,14.733209233060313,14.601215277777776
89.0,14.844626865671644,14.79713541666667
90.0,14.99717261904762,14.967881944444445
91.0,15.111874533233758,15.055468750000001
92.0,15.233855331841909,15.11506129597198
93.0,15.283258594917788,15.136576889661162
94.0,15.335254491017965,15.075694444444443
95.0,15.386969471332838,15.03212389380531
96.0,15.459970238095238,14.934173913043477
97.0,15.58764880952381,14.948697916666667
98.0,15.72953869047619,14.980121527777776
99.0,15.815063385533184,15.038281249999999
100.0,15.863318452380955,15.125607638888889
101.0,15.740045766590386,15.112152777777778
102.0,15.820480120030009,15.189149305555556
103.0,15.869047619047619,15.334635879218474
104.0,15.932761194029851,15.53087121212121
105.0,15.991017964071856,15.581818181818184
106.0,16.08294862248697,15.657386363636364
107.0,16.25669172932331,15.86155303030303
108.0,16.470089285714284,16.094407582938388
109.0,16.703199404761904,16.38001893939394
110.0,16.903871928518242,16.652367424242424
111.0,17.089285714285715,16.878598484848485
112.0,17.26510067114094,17.062938388625593
113.0,17.441886792452834,17.22130681818182
114.0,17.52556561085973,17.35037878787879
115.0,17.56686567164179,17.459401309635172
116.0,17.61176470588235,17.490269331016506
117.0,17.669173492181685,17.49808861859253
118.0,17.74400595681311,17.51841876629018
119.0,17.90967261904762,17.599565595134663
120.0,18.049962769918093,17.6503909643788
121.0,18.1432735426009,17.743989547038325
122.0,18.25914861837192,17.844270833333333
123.0,18.413891020721415,17.98125
124.0,18.57155448717949,18.104079861111114
125.0,18.50801282051282,18.100781249999997
126.0,18.43166529942576,18.050694444444446
127.0,18.451736111111114,18.056684027777777
128.0,18.466123499142366,18.092100694444444
129.0,18.388907849829355,18.17227550130776
130.0,18.449392361111112,18.233333333333334
131.0,18.61833188531711,18.285763888888887
132.0,18.77634782608696,18.29480633802817
133.0,18.90685763888889,18.219602272727276
134.0,18.94126846220678,18.259809523809523
135.0,18.956881533101047,18.239126305792972
136.0,18.888608695652174,18.156679389312973
137.0,18.909146341463412,18.13161904761905
138.0,18.97016197783461,18.199053030303027
139.0,19.0255608974359,18.28047619047619
140.0,19.085910931174087,18.38162878787879
141.0,19.17518987341772,18.47931034482759
142.0,19.098690671031097,18.591761363636365
143.0,19.121180555555558,18.690909090909088
144.0,19.133446232006772,18.761458333333334
145.0,19.087951807228915,18.729657794676804
146.0,19.148878205128206,18.6313446969697
147.0,19.307131410256414,18.655776515151516
148.0,19.538621794871794,18.83533333333333
