#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 03 02 50  86  6.1  7.1  1.50 12.90  7.90 274 1018.2  13.8  11.7 999.0 99.0 99.00
2018 01 03 03 50  88  7.8  9.5  1.31 12.90  6.78 270 1017.7  14.0  11.7 999.0 99.0 99.00
2018 01 03 04 50  87  5.5  6.8  1.49 11.43  7.74 284 1018.3  13.7  11.6 999.0 99.0 99.00
2018 01 03 05 50  96  6.8  8.3  1.36 12.12  6.97 286 1018.1  13.9  11.6 999.0 99.0 99.00
2018 01 03 06 50  97  6.9  8.0  1.50 12.12  7.09 288 1017.8  13.7  11.6 999.0 99.0 99.00
2018 01 03 07 50 105  6.3  7.8  1.68 12.12  8.10 280 1017.7  13.4  11.6 999.0 99.0 99.00
2018 01 03 08 50 101  6.1  7.3  1.45 12.90  7.89 279 1017.1  13.3  11.6 999.0 99.0 99.00
2018 01 03 09 50 106  6.5  7.7  1.57 12.12  7.82 294 1017.2  13.3  11.6 999.0 99.0 99.00
2018 01 03 10 50  97  6.8  8.7  1.56 11.43  7.75 291 1017.4  13.7  11.6 999.0 99.0 99.00
2018 01 03 12 50  92  7.5  8.9  1.36 12.12  7.13 286 1016.1  13.8  11.6 999.0 99.0 99.00
2018 01 03 13 50  97  7.0  8.2  1.46 10.81  7.29 284 1015.7  13.6  11.6 999.0 99.0 99.00
2018 01 03 14 50  93  7.3  9.1  1.62 10.81  8.01 286 1015.6  13.7  11.7 999.0 99.0 99.00
2018 01 03 15 50 110  6.9  8.3  1.56 13.79  7.04 283 1015.7  13.3  11.7 999.0 99.0 99.00
2018 01 03 16 50 113  5.9  7.2  1.39 11.43  7.26 296 1016.5  13.5  11.7 999.0 99.0 99.00
2018 01 03 17 50  97  4.5  5.5  1.48 14.81  8.38 291 1016.6  12.7  11.8 999.0 99.0 99.00
2018 01 03 18 50  86  5.4  6.5  1.49 13.79  9.18 296 1016.7  12.8  11.8 999.0 99.0 99.00
2018 01 03 19 50  68  4.2  5.1  1.58 12.90  9.12 293 1015.7  12.9  11.8 999.0 99.0 99.00
2018 01 03 20 50 116  6.5  7.9  1.50 12.90  9.54 289 1015.6  12.9  11.9 999.0 99.0 99.00
2018 01 03 21 50  91  5.7  7.2  1.55 13.79  9.11 286 1015.2  13.0  11.8 999.0 99.0 99.00
2018 01 03 22 50  88  5.9  7.2  1.58 12.90  7.34 289 1014.8  12.8  11.8 999.0 99.0 99.00
2018 01 03 23 50  92  8.0  9.9  1.51 13.79  7.43 284 1015.0  12.6  11.8 999.0 99.0 99.00
2018 01 04 00 50  80  8.2 10.0  1.68 13.79  7.76 284 1014.7  12.6  11.8 999.0 99.0 99.00
2018 01 04 01 50  84  7.9  9.7  1.74 13.79  7.77 295 1014.2  13.1  11.7 999.0 99.0 99.00
2018 01 04 02 50  97  6.3  7.8  1.78 14.81  7.89 273 1014.9  12.7  11.7 999.0 99.0 99.00
2018 01 04 03 50 113  4.9  6.1  1.69 13.79  8.80 292 1015.0  12.8  11.7 999.0 99.0 99.00
